sample_idx,doc_id,party,year,text,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
23,ParlaMint-NL_2017-06-22-tweedekamer-3.u18,VVD,2017,"Voor mij niet. Het expertisecentrum Levenseindekliniek wordt ingeroepen bij complexe zaken en daar is hier sprake van. Ik zou overigens niet willen zeggen dat dit iets is waarbij we een punt zetten en er vervolgens niet meer naar kijken. Ik heb de Kamer de derde evaluatie aangeboden zonder standpunt, omdat ik demissionair ben. Ik wil van harte een reactie schrijven maar ik zou mij kunnen voorstellen dat de SGP-fractie zegt: nou, laat dat maar over aan een nieuw kabinet want u bent demissionair.",1,1,1,1,1,1,1
24,ParlaMint-NL_2017-06-13-tweedekamer-25.u37,VVD,2017,"De heer Özdil had het over 180 miljoen schuld. Het bedrijf Blokker, de holding, heeft in het jaar 2015 ruim 50 miljoen verlies geleden. In het jaar 2016 is ruim 180 miljoen verlies geleden. 100 miljoen daarvan is veroorzaakt door reorganisatiekosten. Dan blijft er nog 80 miljoen verlies over. Dat is een ernstige situatie. Daarom is het goed dat het bedrijf gewoon zijn eigen verantwoordelijkheid neemt, zoals de heer Ziengs zei. Het bedrijf saneert. Er gaan weliswaar 200 winkels dicht, maar de franchisetak van Marskramer blijft overeind, met het toeleverende distributiecentrum. Ook 400 winkels van Blokker zelf blijven overeind, plus een distributiecentrum. Het management van Blokker richt zich erop om die winkels weer rendabel te laten zijn, de werkgelegenheid te kunnen behouden en met die winkels weer geld te kunnen verdienen.",1,1,1,1,1,1,1
25,ParlaMint-NL_2019-01-23-tweedekamer-6.u44,CDA,2019,"Ik zou er ook niet zo voor zijn om het uit te sluiten, zeg ik even ter verduidelijking. Wat is namelijk de constructie? Men heeft rechten op goederen, bijvoorbeeld het recht op het ontwikkelen van een bepaalde boekenkast, om eens wat te noemen.",1,1,1,1,1,1,1
26,ParlaMint-NL_2018-10-09-eerstekamer-7.u156,VVD,2018,"Er zijn dan verschillende motieven. Ten eerste leveren we de veiligheid niet. Ten tweede waren de maatschappelijke gevolgen een stuk zwaarder. En ja, de seismiciteit werkte ook niet mee. Die nam niet meer af dan we dachten, maar nam zelfs meer toe dan we hadden gedacht. Dat is wat het is. Misschien denken sommige fracties dat van mij te horen, maar nee: we doen dit niet om Nederland van het gas af te halen, of omdat het duurzaam zou zijn. De duurzaamheidsoperatie duurt tot 2050, een hele generatie.",1,1,2,3,1,1,1
27,ParlaMint-NL_2021-03-24-tweedekamer-3.u50,D66,2021,"Natuurlijk betekent ""zo snel mogelijk"" ook wel meteen goed. Dus ik wil de premier ook vragen om de waarborgen te benoemen. Wanneer stoppen we bijvoorbeeld weer met de Europese coronapas? Het idee in het concept van de Commissie is om dat te doen zodra de WHO de pandemie ten einde heeft verklaard, maar het kan natuurlijk goed zijn dat we binnen Europa de pandemie achter de rug hebben, maar dat dat nog niet in de hele wereld het geval is. De vraag is dus ook: moet je dan niet juist instellen dat die coronapas op een gegeven moment automatisch verloopt, dus dat er een horizonbepaling is, zoals we die met onze eigen coronawet al kennen? En als die dan stopt, is het dan niet beter om de hele verordening meteen te beëindigen in plaats van die alleen op te schorten? Dit instrument is natuurlijk voor nu bedoeld, voor deze pandemie, maar het is niet iets om heel vaak uit de koelkast te trekken.",1,1,1,1,1,1,1
28,ParlaMint-NL_2020-05-19-eerstekamer-7.u237,D66,2020,"Voorzitter. We vinden het ook jammer dat de staatssecretaris geen ruimte kan vinden. Dit is niet direct een verwijt aan haar, maar dit is meer een constatering over het systeem. We hebben het over rode stoplichten als we proberen ruimte te vinden voor jongeren die in de Wajong zitten en die komend najaar willen gaan studeren. Het doet ons echt pijn dat daar niets voor kan worden geregeld. Ik heb een dochter die studeert. We hebben allemaal jongeren in onze omgeving die onderwijs kunnen genieten. Ik kreeg net nog een mailtje: ""Wilt u alstublieft een oproep doen?"" Mijn pleidooi naar de staatssecretaris is: wat kan er wel gebeuren? Stoplichten die op rood staan, kunnen van oranje naar groen gaan.",1,1,1,1,1,1,1
29,ParlaMint-NL_2019-12-16-eerstekamer-8.u121,D66,2019,"In de richting van de heer Van Apeldoorn zou ik toch ook nog iets willen zeggen over zijn voornemen om tegen de begroting te stemmen. De heer Slob zal daar dadelijk vast ook nog wat over zeggen. U moet zich wel realiseren dat het niet-aannemen van deze begroting er wel toe zou leiden dat er komend jaar minder middelen beschikbaar komen voor het onderwijs. We hebben dat ook nagevraagd. Een aantal extra investeringen die wij zouden willen doen, mogen wij dan niet doen. Dus ben u daarvan bewust. Tegen mevrouw Vos zou ik nog het volgende willen zeggen. Er is een misverstand dat wij ook in de Tweede Kamer hebben gehoord en dat wij daar toen nadrukkelijk hebben rechtgezet. U zei dat het erop lijkt dat de begroting van 2019 voor Onderwijs groter is dan die van 2020. Ja, in de eerste optiek klopt dat. Waar heeft dat mee te maken? Dat is ook in de Tweede Kamer bij de begrotingsbehandeling uitgelegd. Om een aantal collega's tegemoet te komen die last hadden van onderuitputting, hebben wij een kasschuif gedaan met de middelen voor de ov-kaart. Dat gaat om behoorlijk veel geld. Door dat contract net voor het einde van het jaar te betalen in plaats van net aan het begin van het jaar, haal je geld naar voren. Dat scheelt een paar dagen, maar dat maakt wel een schuif in die begrotingsjaren mogelijk. Mogelijk bent u daardoor in verwarring: hé, wordt het nou minder? Het wordt meer, maar we hebben deze nogal technische kasschuif, en dat ov-contract gaat inderdaad om honderden miljoenen.",2,1,1,1,1,1,1
30,ParlaMint-NL_2018-03-15-tweedekamer-8.u16,D66,2018,"Voorzitter. D66 vindt het een positieve ontwikkeling dat de RMC-functie — de Regionale Meld- en Coördinatiefunctie, zeg ik nog maar even voor de luisteraars — volledig in staat wordt gesteld om passende ondersteuning te bieden. Door deze wetswijziging worden jongeren zonder startkwalificatie gevolgd. Wanneer ze dreigen vast te lopen of hulp nodig hebben, worden ze direct verbonden aan de juiste partijen. Wel hebben we nog enkele vragen aan de minister over de gevolgen voor het directe contact met jongeren. Kan de minister uitleggen hoe deze verbetering zich vertaalt naar de voorkant van de ondersteuning, dus naar degenen die contact met de jongeren onderhouden? Wordt hierdoor ook de ondersteuning integraler, waarbij jongeren met complexe problematiek goed kunnen worden bereikt en niet van het kastje naar de muur worden gestuurd?",1,1,1,1,1,1,1
31,ParlaMint-NL_2018-12-11-tweedekamer-28.u118,VVD,2018,"Heel welwillend. Nee, de Gezondheidsraad zegt natuurlijk een heleboel. Deze zegt: een geïnformeerde en vrijwillige keuze is van groot belang. Directiviteit is niet aanvaardbaar. Het bijwonen is weliswaar belangrijk, maar het is geen voorwaarde. Het gaat ons om het woord ""voorwaarde"". Eigenlijk is de vraag van de VVD en D66 en misschien wel van meerdere leden hier in deze zaal, wat je nou doet als een vrouw gewoon zegt: ""luister, ik bén geïnformeerd. Ik wil niet door die hoepel hoeven springen om in aanmerking te komen voor prenatale screening."" Ik heb moeite met het feit dat er een drempel wordt opgeworpen. Ik wil dat het de vrijwillige keuze van de vrouw is. De staatssecretaris zegt in zijn brief gewoon dat hij het een harde voorwaarde maakt. Dat heeft hij in het AO nog een keer heel stevig herhaald. Vandaar deze motie. Dus ik wil de staatssecretaris graag op zijn blauwe ogen geloven dat hij me gaat uitleggen dat het inderdaad geen voorwaarde is, want dan ben ik gelukkig. Maar ik behoud me wel de ruimte voor dat ik de motie alsnog indien, als dat er niet in staat.",1,1,1,1,1,1,1
32,ParlaMint-NL_2021-11-11-tweedekamer-21.u11,PvdA,2021,"Goede vraag. Dit wetsvoorstel valt uiteen in twee doelen. De ene kant is die eenduidigheid en handhaafbaarheid. Daarvan zegt de inspectie: dit is niet te doen, al die verschillende tijden en cao's en dingen; stel dat uurloon gewoon vast op één bedrag. Het tweede doel van dit wetsvoorstel is om een eerste stap te zetten om de armoede te bestrijden van mensen die op dit moment voor het minimumloon werken maar gewoon te weinig verdienen. Wat ons betreft is het een eerste stapje naar een veel grotere stap. Natuurlijk zijn er werkgevers die zich dan zorgen maken. Aan de ene kant zie je dat we het juist aan de sectoren gaan vragen die in de afgelopen tijd, ondanks corona, best goed hebben gedraaid. Ze kunnen echt wel wat meer betalen. Ik zie ook dat werkgevers dat in polderverband zeggen. Dat is heel goed nieuws. Bij de Sociaal-Economische Raad hebben ze het MLT, het middellangetermijnadvies, opgesteld. Daarin zeggen werkgevers dat zij het wel zien zitten om het minimumloon te verhogen, natuurlijk met een aantal voorbehouden, en dat het uurloon ook van belang is.",1,1,1,1,1,1,1
33,ParlaMint-NL_2017-11-09-tweedekamer-16.u346,GroenLinks,2017,"Ik heb nog een onbeantwoorde vraag uit mijn eerste termijn. Het is een iets filosofischere vraag, geloof ik. Het doet mij goed om te zien dat de staatssecretaris een soepele verdediger is van het kabinetsbeleid en van het regeerakkoord, maar ik vroeg hem ook naar zijn meer visionaire kant. De heer Omtzigt en de heer Van Dijck hebben bijvoorbeeld gelijk: wij hebben een probleem met de marginale druk voor lage en middeninkomens, we hebben een probleem met de belastinguitgaven. Het is een grote uitdaging om na te denken over de toeslagen en hoe dat samenloopt. De vergroening, de samenstelling van de mix aan kapitaal: ziet de staatssecretaris de komende jaren, behalve het keurig uitvoeren van het regeerakkoord waar ik heel kritisch op ben, ruimte om ook wat grotere stelseldiscussies te gaan voeren?",3,1,1,1,1,1,1
