bloc,subject,count
Left,verdrogingsprobleem,1
Left,veiligstelling,1
Left,tracé,1
Left,energielast,2
Left,rechtvaardiging,1
Left,aanbod,2
Left,factor,4
Left,richtlijn,6
Left,praktijkonderzoek,1
Left,bijstelling,1
Left,emissiefactor,1
Left,veldonderzoek,1
Left,particulieren,2
Left,beoordeling,2
Left,woningisolatie,3
Left,actie,2
Left,directeur,2
Left,toezicht,5
Left,autoriteit,2
Left,transparantie,4
Left,voorwaarde,4
Left,waarde,6
Left,unep,2
Left,recht,4
Left,natuurwaard,3
Left,eigenaar,3
Left,veestapel,6
Left,ecofys,1
Left,aanscherping,2
Left,staatsdeelneming,2
Left,sloopregeling,1
Left,vissenwelzijn,1
Left,grondwater,1
Left,drinkwatervoorziening,1
Left,deltaprogramma,2
Left,energieakkoord,2
Left,mestverwerking,1
Left,criterium,4
Left,capaciteit,7
Left,energiebeleid,2
Left,besparingspotentieel,1
Left,energieverbruik,5
Left,reservecapaciteit,1
Left,nederlander,8
Left,opwekking,2
Left,opsporingsvergunning,2
Left,postcoderoos,1
Left,verduurzaming,10
Left,kennis,2
Left,dier,12
Left,gebiedscollectief,1
Left,taak,3
Left,tegenstelling,1
Left,natuurpact,1
Left,restantopgave,1
Left,inspanning,9
Left,regeling,1
Left,vergunningaanvraag,1
Left,inzet,21
Left,industrie,34
Left,volumecorrectie,1
Left,teebmethode,1
Left,alterra,2
Left,vergroening,9
Left,akkerrand,1
Left,melkveehouderij,5
Left,weiland,1
Left,tussenstapp,1
Left,eemshaven,2
Left,milieunorme,1
Left,toezichthouder,1
Left,serenergieakkoord,1
Left,model,6
Left,onduidelijkheid,1
Left,oppervlaktewater,2
Left,hout,1
Left,precedentwerking,1
Left,voordeel,4
Left,gazprom,4
Left,vervoer,2
Left,klimaat-,6
Left,mate,5
Left,deurnsche,1
Left,herstelmaatrege,1
Left,stikstofuitstoot,26
Left,weerstand,3
Left,verst,1
Left,afhankelijkheid,5
Left,vergroeningscomponenen,1
Left,meerderheid,3
Left,discussie,8
Left,briefadvie,1
Left,gaspijpleiding,1
Left,landschapselemenat,1
Left,langetermijndoelstelling,1
Left,reductie,12
Left,co2-uitstoot,10
Left,co2-reductie,7
Left,rest,2
Left,positie,3
Left,woningcorporatie,5
Left,natuurbudget,2
Left,stikstofdepositie,3
Left,opbrengst,4
Left,schaapherder,1
Left,marker,1
Left,milieudoelen,1
Left,spanning,1
Left,potentie,2
Left,energieleverancier,5
Left,secretaris-generaal,6
Left,ondergrond,1
Left,methaan,10
Left,klimaatpanel,4
Left,ipcc,10
Left,sde+,1
Left,rendement,3
Left,verzakking,1
Left,habitat,1
Left,infrastructuur,5
Left,bijstook,3
Left,klimaatwinst,8
Left,energieverspilling,3
Left,implicatie,1
Left,staat,16
Left,constructie,1
Left,omvang,4
Left,stunt,2
Left,ex-postevaluatie,1
Left,activiteitenbesluit,1
Left,lidstaat,14
Left,borkums,1
Left,brazilië,1
Left,installatie,3
Left,geluidsnormstelling,1
Left,techniek,2
Left,metalen,1
Left,petajoule,2
Left,mestvergister,5
Left,handhaving,4
Left,afwegingskader,3
Left,aandacht,6
Left,label,2
Left,basis,1
Left,aanvrager,1
Left,emissiehandel,1
Left,prioriteit,5
Left,natuurbescherming,1
Left,uitgave,2
Left,amendement,3
Left,innovatie,4
Left,natuurbeschermingswet,2
Left,energieproductie,1
Left,gasgebruik,1
Left,besparingsmogelijkhed,1
Left,planning,1
Left,klimaatwet,19
Left,koppelverkoop,1
Left,reductiedoelstelling,2
Left,expert,4
Left,optreden,1
Left,rechtbank,3
Left,broeikasgasuitstoot,2
Left,energiebelasting,10
Left,zorg,10
Left,systeembeheerder,4
Left,energiebehoefte,2
Left,advies,6
Left,decentralisering,1
Left,marktpartij,2
Left,energietransitie,50
Left,infrastructuurbedrijf,1
Left,besluit,5
Left,handelsmix,1
Left,invulling,2
Left,getijdenenergie,2
Left,president,7
Left,dieselvoertuig,1
Left,belastingvrijstellingsmogelijkheid,1
Left,vrijstellingsmogelijkheid,1
Left,bedrag,7
Left,staatsbedrijf,1
Left,gasrotondestrategie,1
Left,vereniging,3
Left,beheer,1
Left,langetermijnvisie,1
Left,schade,9
Left,contract,1
Left,financier,3
Left,splitsing,2
Left,halfjaar,1
Left,veiligheid,4
Left,studie,9
Left,ambitie,6
Left,rapport,18
Left,wereldbevolking,1
Left,verschuiving,1
Left,conflict,2
Left,honger,1
Left,risico,13
Left,groeipad,1
Left,uitvoeringsdienst,1
Left,aldi,1
Left,maatregelenlijst,1
Left,groothandelsprijs,2
Left,investeerder,1
Left,melding,1
Left,omgevingsvergunning,1
Left,schaliegas,2
Left,eruit,1
Left,aanbieder,2
Left,nieuwbouw,2
Left,stimuleringsmaatregel,1
Left,goedkeuring,2
Left,eubeleid,2
Left,prorail,1
Left,imidacloprid,1
Left,emissie-eisen,1
Left,oeso,1
Left,waddengebied,3
Left,bezoeker,1
Left,eindrapport,1
Left,doorrekening,1
Left,landbouwpraktijk,2
Left,voorbeeld,6
Left,veeteelt,1
Left,denemarken,3
Left,binnenvaart,1
Left,vogel,2
Left,systeem,7
Left,vergunningverlening,3
Left,prijs,9
Left,mijnbouwwet,5
Left,co2-prijs,2
Left,begrenzing,1
Left,emissiereductie,2
Left,omgevingswet,3
Left,klimaatakkoord,21
Left,mijnbouwactiviteit,2
Left,broeikasgas,1
Left,shell,15
Left,overstap,5
Left,rumoer,1
Left,gaswinning,11
Left,milieueffect,1
Left,steun,7
Left,kustpact,1
Left,stad,5
Left,stadsverwarming,1
Left,behoefte,7
Left,kind,5
Left,initiatief,2
Left,topinkomen,1
Left,wind,5
Left,waardevermindering,1
Left,planschadevergoeding,1
Left,vanggewas,1
Left,een-op-eenafspraak,1
Left,onzekerheid,1
Left,burger,19
Left,informatie,2
Left,verdrag,5
Left,renovatie,2
Left,variant,2
Left,energieagenda,2
Left,netbeheerder,6
Left,besparing,2
Left,ontheffing,1
Left,nom-ready,1
Left,woning,7
Left,gasnet,1
Left,borgingscommissie,1
Left,tegelijkertijd,1
Left,opwarming,7
Left,vrijhandel,2
Left,luchtkwaliteit,4
Left,landbouwbeleid,4
Left,voorzitter,4
Left,naleving,1
Left,melk,3
Left,methode,6
Left,meting,5
Left,rivm,14
Left,blootstelling,4
Left,lozing,4
Left,chemiebedrijf,2
Left,chemiebedrijven,1
Left,etssysteem,1
Left,ttip,1
Left,emissions,1
Left,klimaatdoelstelling,2
Left,actieplan,4
Left,energieprijs,6
Left,prijsontwikkeling,1
Left,malta,2
Left,last,7
Left,terugtrekking,1
Left,stuurgroep,1
Left,gastransitie,1
Left,aardgaswinning,1
Left,bedreiging,2
Left,eneco,3
Left,grondslag,1
Left,sectorkenmerk,1
Left,aandeel,29
Left,band,2
Left,wetenschap,7
Left,energie-inkoopbeleid,1
Left,aardgas,8
Left,huishoudens,12
Left,kantoren,1
Left,glyfosaat,5
Left,natuurtyap,1
Left,luchtwasser,3
Left,zuiveringsoptie,1
Left,hoeveelheid,11
Left,nederlandsche,5
Left,landbouwsector,3
Left,subsidieregeling,1
Left,bes-eilanden,1
Left,verbranding,4
Left,gasleiding,1
Left,milieuschade,6
Left,consumptiefase,1
Left,beprijzing,2
Left,product,6
Left,aanpassing,5
Left,vervuiling,3
Left,50-50-verhouding,1
Left,voedselbrandstof,2
Left,luchtvaart,13
Left,optie,2
Left,campagne,1
Left,school,2
Left,landbouwtransitie,1
Left,defensie,3
Left,pensioenfondsen,2
Left,project,11
Left,energiebeheer,1
Left,oplossing,12
Left,lijst,2
Left,bank,2
Left,pensioenfonds,3
Left,kamermeerderheid,1
Left,energiesysteem,5
Left,water,7
Left,balans,3
Left,certificering,3
Left,afnemer,4
Left,eend,2
Left,zwemwater,1
Left,duurzaamheidsinitiatief,1
Left,mensenrecht,1
Left,warmte,3
Left,automaker,1
Left,mededingingswetgeving,1
Left,vakmensen,1
Left,genx,2
Left,verbinding,1
Left,rijksinstituut,1
Left,berekening,2
Left,energievoorziening,3
Left,energiewinning,1
Left,statiegeldalliantie,1
Left,bedrijfsleven,4
Left,opgave,12
Left,bepalingsmethode,2
Left,initiatiefrecht,1
Left,looptijd,1
Left,energietarief,1
Left,groei,21
Left,corsia-afspraken,1
Left,parlement,7
Left,formule,3
Left,import,4
Left,binnenhof,2
Left,voedselomgeving,2
Left,belemmering,1
Left,gebouw,2
Left,stof,9
Left,vorm,7
Left,kalfsvlees,1
Left,ipccrapport,2
Left,overgang,2
Left,aanwezigheid,2
Left,schaar,1
Left,verscheidenheid,1
Left,weerextremen,1
Left,waterberging,1
Left,watermanagement-drietrapsstrategie,1
Left,beleidsmaatrege,1
Left,tempo,3
Left,stage,1
Left,stagiair,1
Left,toekomst,4
Left,verhoging,2
Left,buurland,1
Left,belgië,4
Left,tekort,3
Left,waterstof,4
Left,veesector,1
Left,klimaattafel,2
Left,markt,11
Left,koksopleiding,1
Left,visie,8
Left,mestproductie,4
Left,haai,1
Left,verbod,4
Left,pilot,1
Left,bewoner,8
Left,methaanuitstoot,1
Left,stook,2
Left,houtstook,1
Left,bevoegdheid,1
Left,procesmidde,1
Left,voedingspatroon,4
Left,biomassa,26
Left,windmolen,8
Left,windenergiecapaciteit,1
Left,succes,3
Left,rekening,5
Left,raming,1
Left,subsidie,23
Left,heffing,6
Left,luchtvaartsector,7
Left,uittreding,1
Left,boom,9
Left,stikstofbeleid,2
Left,uitspraak,7
Left,wloscenario,1
Left,invoer,2
Left,energiebron,2
Left,klimaatcrisis,23
Left,groningen,2
Left,schijnduurzaam,1
Left,milieuorganisatie,5
Left,poldermodel,2
Left,sjoemeldiesels,1
Left,gemeenschap,2
Left,c-doelstelling,1
Left,opening,2
Left,emissie,1
Left,voedingpatroon,1
Left,gerechtshof,3
Left,zeescheepvaart,1
Left,haven,3
Left,fijnstof,1
Left,ontwerpklimaatakkoord,3
Left,vermindering,1
Left,voedselveiligheidsautoriteit,1
Left,handelsverdrag,3
Left,eu-gremia,1
Left,eu-onderhandelingen,1
Left,autofabrikant,1
Left,duurzaamheidskader,10
Left,schaalsprong,1
Left,voorloper,2
Left,boswetenschapper,1
Left,regenwouden,2
Left,beng-eisen,1
Left,luchtvaartmaatschappij,1
Left,palmolie,2
Left,toelating,1
Left,verlaging,3
Left,eu-bovenlimiet,1
Left,certificeringssysteem,1
Left,bewijslast,1
Left,getijdendynamiek,1
Left,bodemdaling,3
Left,verschil,18
Left,duurzaamheidsmaatrege,2
Left,productieverhoging,1
Left,routekaart,2
Left,sectorplan,1
Left,co2-reductiedoelen,1
Left,erkenning,3
Left,uitstervingsgolf,2
Left,biodiversiteitsnoodtoestand,2
Left,beoordelingssystematiek,1
Left,vertrouwen,2
Left,rekenkamer,2
Left,instrumentarium,1
Left,programma,2
Left,zonnepanel,8
Left,klimaat,24
Left,energieopbrengst,1
Left,openbaar,1
Left,mestvergistingsmaffia,1
Left,afkorting,1
Left,netwerkbedrijve,2
Left,diersoort,1
Left,ipbes-rapport,2
Left,werknemer,3
Left,tiental,3
Left,wetgeving,6
Left,boss,2
Left,amercentrale,2
Left,veenweiden,1
Left,landschap,4
Left,co2-heffing,3
Left,vlucht,1
Left,reiziger,1
Left,urgenda,7
Left,preventieakkoord,1
Left,hulpbron,1
Left,waterkwaliteit,6
Left,motie-dik-faber,1
Left,omslag,5
Left,ontwikkelaar,1
Left,ultrafijnstofuitstoot,1
Left,gezondheidsschade,2
Left,standstill,1
Left,-remkes,1
Left,emissieregistratiesysteem,1
Left,kalfsvleesdeal,1
Left,economie,12
Left,pasuitspraak,3
Left,natuurvergunning,3
Left,natuurwetenschapper,1
Left,betonproductie,1
Left,gezondheidsapect,1
Left,boorplatforms,1
Left,verenigd,2
Left,kwaliteit,3
Left,gebiedsdossiers,1
Left,stijging,3
Left,energieverkenning,1
Left,co2-grensheffing,1
Left,biomassacentrale,1
Left,wildgroei,2
Left,houtsingel,1
Left,registratie,1
Left,agrariër,1
Left,mismatch,1
Left,centrale,4
Left,vraag,30
Left,rijkswaterstaat,3
Left,uitwerking,2
Left,achtergrondconcentratie,1
Left,ammoniakreductie,1
Left,herstelmaatregelen,1
Left,uitgifte,1
Left,pakket,4
Left,klimaatdoel,5
Left,klimaatdoe,4
Left,invoering,2
Left,verlenging,1
Left,sein,2
Left,afroming,1
Left,duizendknoop,1
Left,pfas-stoffen,2
Left,regel,7
Left,natuurmonumenten,3
Left,vrijwilligheid,1
Left,wetgevingstraject,1
Left,ketenanalyse,1
Left,datum,2
Left,biodiesel,2
Left,investor-state,1
Left,reclame,6
Left,lesmateriaal,1
Left,thema,3
Left,bedrijfsvoering,2
Left,waddenecosysteem,1
Left,communicatie,1
Left,impact,8
Left,luchthaven,2
Left,inzicht,4
Left,uitstootrechot,2
Left,kolencommissie,1
Left,eiwittransitie,3
Left,fabrikant,1
Left,stimulering,1
Left,kritiek,4
Left,handelspolitiek,1
Left,partner,2
Left,chemours,1
Left,verspreiding,1
Left,bronaanpak,1
Left,transitieagenda,2
Left,auditcommissie,1
Left,emissierecht,1
Left,warmtenett,3
Left,warmtebronan,1
Left,twijfelbrigade,1
Left,rechtsbescherming,1
Left,vaststelling,2
Left,klimaatimpact,4
Left,stikstofreductie,3
Left,saldering,1
Left,supermarkten,1
Left,klimaatopgave,3
Left,streefdoel,1
Left,overheveling,2
Left,grondpersoneel,1
Left,royal,1
Left,werelderfgoedstatus,1
Left,kwelder,1
Left,bossenstrategie,2
Left,afstemming,1
Left,langetermijnplan,1
Left,bossenareaal,1
Left,bosbeheer,3
Left,oppervlakte,1
Left,urgendavonnis,2
Left,uitsluiting,2
Left,eu-herstelfond,1
Left,adviescollege,1
Left,concentratie,3
Left,gedeelte,2
Left,energieopslag,1
Left,schakel,1
Left,energieproject,3
Left,stimuleringsmaatregelen,1
Left,sde++,1
Left,reductiedoe,1
Left,monitoren,1
Left,huurprijsontwikkeling,1
Left,mobiliteitsfonds,1
Left,mobiliteitsprojecten,1
Left,klimaatplan,8
Left,subsidiebeschikking,1
Left,grootverbruiker,5
Left,vrijstelling,3
Left,houdbaarheid,1
Left,berm,1
Left,aansprakelijkheid,1
Left,plek,4
Left,nertsenhouder,1
Left,stikstofruimte,10
Left,dijkversterkingen,1
Left,situatie,9
Left,zeespiegel,4
Left,afsluitdijk,1
Left,elektrificatie,2
Left,woningbouwproject,1
Left,verkeersemissie,1
Left,tracébesluit,1
Left,website,1
Left,watercrassula,2
Left,keurmerk,1
Left,koei,2
Left,melkproductie,1
Left,initiatiefnota,1
Left,focus,5
Left,taxonomie,3
Left,toets,2
Left,onteigening,1
Left,vergunningsruimte,1
Left,stikstofdeken,1
Left,instelling,3
Left,invest,1
Left,investeringsportefeuille,1
Left,virus,1
Left,keuze,4
Left,grondstof,4
Left,convenant,1
Left,natuurgrasvelden,1
Left,lichthinder,1
Left,ocean,1
Left,circulaire-economiebeleid,2
Left,drukte,1
Left,uitkap,2
Left,bomenkap,2
Left,veiligheidstoet,1
Left,hoge,1
Left,nationaal,3
Left,gedragscode,1
Left,vleermuis,2
Left,restwarmte,2
Left,internationaal,8
Left,transitiebrandstof,1
Left,olievoorrad,1
Left,klimaatmitigatie,1
Left,fosfaatrecht,1
Left,mobiliteitsplannen,1
Left,bezorgscooter,1
Left,aankoop,1
Left,tata,15
Left,onderzoeksrapport,2
Left,norm,4
Left,broeikasgasreductiedoelen,1
Left,co2-equivalenten,1
Left,luchtvaartnota,2
Left,potentieel,1
Left,kooksfabriek,3
Left,bouwbedrijv,1
Left,blad,1
Left,bladblazers,1
Left,pas-melders,1
Left,lelystad,3
Left,pasmelding,2
Left,versie,2
Left,zicht,1
Left,mijnbouw,1
Left,vergunningsprocedure,1
Left,monitor,4
Left,gasprijs,2
Left,volatiliteit,1
Left,duurzaamheidstransitie,1
Left,klimaatfinanciering,2
Left,klimaatfonds,1
Left,wereldgezondheidsorganisatie,1
Left,techniek»-eisen,1
Left,demonstratieregeling,1
Left,klimaatnota,4
Left,eeuw,1
Left,inkomen,2
Left,ultrafijnstof,1
Left,voorlichting,1
Left,university,1
Left,stikstofcrisis,8
Left,voedselboss,1
Left,verdienmodell,2
Left,isolatiedoelen,1
Left,ontwikkelingsbudget,1
Left,gasprojecten,1
Left,ten-e-verordening,1
Left,beëindiging,2
Left,uitfasering,1
Left,evaluatiesytematiek,1
Left,hectare,2
Left,congres,1
Left,klimaattoets,1
Left,klant,2
Left,stroomranking,1
Left,leverancier,1
Left,co2-deeltjes,1
Left,frankrijk,3
Left,compensatie,3
Left,wens,1
Left,terawattuur,1
Left,statenled,1
Left,dreiging,2
Left,schiphol,11
Left,plant,3
Left,kabinetsmaatregel,2
Left,speler,2
Left,bestemming,1
Left,sigarettenfilter,1
Left,uitzondering,2
Left,hergebruik,1
Left,klimaatplicht,2
Left,toepassing,2
Left,cop26-verklaring,1
Left,energiecompensatie,1
Left,verplichting,3
Left,geweld,1
Left,artilleriebeschieting,1
Left,neerland,1
Left,coalitieakkoord,6
Left,stikstofbijdrage,1
Left,terugsluis,1
Left,stuk,1
Left,monomestvergister,1
Left,omgevingsdienst,5
Left,voortgang,2
Left,investico,1
Left,plafond,2
Left,miljardensubsidie,1
Left,export,1
Left,asfalt,2
Left,mitigatie,1
Left,grens,2
Left,metabolic,1
Left,landsadvocaat,4
Left,klimaatrapport,1
Left,actoar,2
Left,rabobank,1
Left,stal,1
Left,emissierechten,1
Left,glastuinbouw,1
Left,gasunie,1
Left,verhouding,6
Left,brandstofproductie,2
Left,bodemvruchtbaarheid,1
Left,eiwit,1
Left,producentenverantwoordelijkheid,1
Left,prikkel,4
Left,recyclingdoelstelling,1
Left,categorie,1
Left,producent,2
Left,doelmatigheid,1
Left,rusland,3
Left,eurichtlijn,1
Left,fabriek,2
Left,energievraag,1
Left,belofte,1
Left,welvaart,3
Left,klimaatuitgaf,1
Left,materiaal,1
Left,aanvoer,1
Left,recyclaat,1
Left,watergebruik,1
Left,uitwisseling,1
Left,aanspreekpunt,1
Left,kabinetsdoel,1
Left,kooksfabrieken,3
Left,digitalisering,6
Left,co2-concentratie,1
Left,ministerpresident,27
Left,tabakslobby,1
Left,gezin,1
Left,betrokkenheid,2
Left,gesprek,3
Left,energiecoöperatie,6
Left,energiemarkt,1
Left,nadeelcompensatie,1
Left,uniper,1
Left,kabinetslijn,1
Left,niet-co2-effect,1
Left,scheepvaart,1
Left,pakkans,2
Left,boete,1
Left,scrubber,1
Left,uitlaatgas,1
Left,waswater,1
Left,beleidsinstrument,2
Left,speculatie,1
Left,wegvervoer,1
Left,toelatingsverbod,1
Left,overwinsten,1
Left,consequentie,6
Left,leefomgeving,1
Left,aanvrag,1
Left,schotland,1
Left,bufferzone,1
Left,toename,6
Left,van-boer-tot-bordstrategie,2
Left,melkveehouder,4
Left,systematiek,1
Left,verordening,1
Left,vrouw,1
Left,prijsplafond,1
Left,exportstrategie,1
Left,stikstofwet,2
Left,garantie,1
Left,vertraging,2
Left,solidariteitsheffing,1
Left,timmermans,2
Left,koopkrachtravijn,1
Left,compensatieregeling,1
Left,enkelglas,1
Left,winst,4
Left,werkwijze,2
Left,droogte,1
Left,energiearmoede,1
Left,urgentie,12
Left,klimaattop,3
Left,ets-bedrijven,1
Left,european,1
Left,co2-opslagfunctie,1
Left,klimaatmaatregeal,4
Left,sportclub,4
Left,sport,1
Left,verdeling,4
Left,compensatieafsprak,1
Left,sportvereniging,1
Left,houtduif,1
Left,woningbouwopgave,1
Left,veehouder,2
Left,berom,1
Left,kilometer,1
Left,legalisatie,1
Left,voorraad,3
Left,stikstofrechot,1
Left,essentie,3
Left,zorgplicht,1
Left,gezondheid,2
Left,agro-industrie,1
Left,marge,1
Left,sjoeme,1
Left,klokkenluider,1
Left,claim,1
Left,enviva,1
Left,noodverordening,1
Left,hoofdveroorzaker,1
Left,type,2
Left,werking,1
Left,bossen,5
Left,vernat,1
Left,co2-opslagen,2
Left,frans,1
Left,besparingsen,1
Left,schommeling,1
Left,oudlandbouwminister,1
Left,opwek,3
Left,ventilatie,1
Left,ammoniakconcentratie,1
Left,fossiel,3
Left,yara,1
Left,kunstmestindustrie,2
Left,kunstmest,1
Left,energiecoöperaties,2
Left,tarief,2
Left,doelgroep,2
Left,student,4
Left,zzs-gegevens,1
Left,bestuiver,1
Left,garnalenvisserij,1
Left,superjachten,1
Left,frieslandcampina,1
Left,fosfat,1
Left,inkomenseffect,1
Left,salderingsregeling,1
Left,uitrol,5
Left,lock-in-effect,1
Left,emissiebudget,2
Left,proces,4
Left,grip,1
Left,landbouwakkoord,2
Left,areaal,1
Left,formulering,2
Left,kooksfabrie,1
