original_index,party,year,source_file,pages,text,relevance_reason,climate_topics,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization,dominant_frame,dominant_frame_score,n_frames_present,has_parse_failure
13,bbb,2023,bbb-2023.pdf,24-26,"We leven zo goed als mogelijk in balans met de omgeving. We moeten ons land goed achterlaten voor de volgende generatie. Op het gebied van grote vraagstukken als immigratie en klimaat, nemen we verantwoordelijkheid. Wel moet je realistisch zijn over dat wat je kan dragen als samenleving. We nemen niet de hele wereld op onze schouders, maar kijken wat haalbaar en draagbaar is. Dat doen we in samenspraak met burgers. We investeren in de verbinding tussen stad en platteland en in een duurzame toekomst.","Bevat expliciete vermelding van klimaat als groot vraagstuk waar verantwoordelijkheid voor genomen moet worden, gekoppeld aan duurzaamheid en intergenerationele rechtvaardigheid.","klimaatbeleid, duurzaamheid, intergenerationele rechtvaardigheid",2,3,1,1,2,2,2,moral,3,1,False
14,bbb,2023,bbb-2023.pdf,36-38,"Om de woningzoekenden en bouwers enige rust te bieden, maken we pas op de plaats met aanvullende duurzaamheidseisen aan nieuwbouwwoningen. Zo willen we nieuwbouwprojecten betaalbaar maar ook haalbaar maken. BBB zet voor wat betreft de verdere verduurzaming vooral in op de bestaande woningvoorraad. De laagste inkomens hebben het meeste last van de hoge energieprijzen en mensen met lage inkomens wonen vaak in sociale huurwoningen.","Dit fragment behandelt verduurzaming van woningen in relatie tot energieprijzen, wat direct gerelateerd is aan de energietransitie en klimaatbeleid.","verduurzaming, energieprijzen, energietransitie",3,1,1,1,2,1,2,economic,3,1,False
15,bbb,2023,bbb-2023.pdf,37-39,"BBB zet voor wat betreft de verdere verduurzaming vooral in op de bestaande woningvoorraad. De laagste inkomens hebben het meeste last van de hoge energieprijzen en mensen met lage inkomens wonen vaak in sociale huurwoningen. Daarom zetten we samen met de corporatiesector en overige eigenaren van sociale huurwoningen in, op een versnelling van de verduurzaming van sociale huurwoningen.",Dit gaat over energietransitie in de gebouwde omgeving en verduurzaming van woningen om energieprijzen te verlagen,"energietransitie, verduurzaming, energiearmoede",2,3,2,1,3,1,2,moral,3,2,False
16,bbb,2023,bbb-2023.pdf,37-39,"BBB is voorstander van natuurinclusief bouwen en het gebruik van circulaire en plantaardig geproduceerde bouwmaterialen, denk aan hout, maar ook vlas, riet en ander bouwmateriaal dat uitermate geschikt is voor de bouw van duurzame, nieuwe woningen. Wij willen dat bij sloop en renovatie van woningen zoveel mogelijk rekening wordt gehouden met hergebruik van de vrijkomende materialen.",Dit betreft circulaire economie en duurzame bouwmaterialen die bijdragen aan CO2-reductie in de bouwsector,"circulaire economie, duurzaamheid, CO2-reductie",1,1,1,1,2,1,1,health_environment,2,0,False
17,bbb,2023,bbb-2023.pdf,37-39,"Bij binnenstedelijke herontwikkeling en/of renovatie letten we op klimaatadaptatie, bijvoorbeeld door ruimte te laten voor groen en water.",Dit gaat expliciet over klimaatadaptatie als onderdeel van stedelijke ontwikkeling,"klimaatadaptatie, klimaatverandering",1,1,1,1,2,1,1,health_environment,2,0,False
18,bbb,2023,bbb-2023.pdf,44-48,"We beschermen onze nationale belangen via EU-handelsverdragen. Daarin wordt opgenomen dat klimaat, milieu en gezondheidseisen van importproducten gelijk zijn aan de eisen die hier gelden voor de productie ervan.",Betreft klimaateisen in handelsverdragen en CO2-leakage preventie via importeisen,"handelsverdragen, importeisen, CO2-leakage",2,1,1,2,2,1,2,economic,2,0,False
19,bbb,2023,bbb-2023.pdf,44-48,We volgen het nieuw geïntroduceerde systeem van 'CO2-belasting' (Carbon Border Adjustment Mechanism) bij import zeer kritisch. We grijpen hierop in zodra blijkt dat in Nederland gevestigde producenten hiervan oneerlijke concurrentie ondervinden.,"Gaat over het Carbon Border Adjustment Mechanism, een belangrijk EU-klimaatbeleidsinstrument voor CO2-pricing","CO2-belasting, Carbon Border Adjustment Mechanism, concurrentie",4,2,1,2,1,1,2,economic,4,1,False
20,bbb,2023,bbb-2023.pdf,67-69,Dierlijke mest moet geaccepteerd worden als groeibevorderaar en grondstof in plaats als afvalstof. De EU moet stimuleren dat kunstmest vervangen kan worden door producten gemaakt uit dierlijke mest. Dit is beter voor de bodem en verlaagt de CO2-uitstoot die gepaard gaat met kunstmestproductie.,Bevat een explicite verwijzing naar CO2-uitstootreductie door vervanging van kunstmest door dierlijke mest,"CO2-reductie, landbouw, emissies",2,1,3,1,3,1,2,scientific,3,2,False
21,bbb,2023,bbb-2023.pdf,69-70,De EU moet stimuleren dat kunstmest vervangen kan worden door producten gemaakt uit dierlijke mest. Dit is beter voor de bodem en verlaagt de CO2-uitstoot die gepaard gaat met kunstmestproductie.,Expliciete vermelding van CO2-uitstootreductie in de context van mestbeleid en kunstmestvervanging,"CO2-reductie, duurzame landbouw",1,1,3,1,3,1,1,scientific,3,2,False
22,bbb,2023,bbb-2023.pdf,69-70,We zetten in op het bevorderen van voedsel van dichtbij boven producten van ver weg. We stimuleren dit door het verlagen van de kosten voor korte ketens en het verhogen van de kosten voor voedsel van ver weg. Hier kan worden gedacht aan een toeslag per kilometer of andere stimuleringsregels.,Beleid gericht op verkorting van voedselketens wat direct bijdraagt aan CO2-reductie door verminderd transport,"CO2-reductie, duurzame voedselketens",4,1,1,1,2,1,2,economic,4,1,False
23,bbb,2023,bbb-2023.pdf,69-70,"We zetten in op het heronderhandelen van een EU-Mercosur-verdrag (producten uit Argentinië, Brazilië, Paraguay en Uruguay). Dit verdrag leidt tot oneerlijke concurrentie voor Europese boeren, wat weer tot extra ontbossing van het Amazone regenwoud leidt. Zo helpen we niet alleen ons land maar de wereld te verduurzamen.",Expliciete link tussen handelsbeleid en klimaat via ontbossing van het Amazone regenwoud en wereldwijde verduurzaming,"ontbossing, klimaatbeleid, verduurzaming",3,4,2,1,4,3,2,moral,4,4,False
24,bbb,2023,bbb-2023.pdf,87-88,"Door de energietransitie hebben we in Nederland te maken met meer elektra, accu's en de opkomst van waterstof. De rol van de brandweer wordt dus belangrijker, zowel bij het voorbereiden van bouwplannen als bij het bestrijden van calamiteiten.",Beschrijft hoe de energietransitie nieuwe veiligheidseisen stelt aan de brandweer vanwege elektrificatie en waterstof,"energietransitie, waterstof, elektrificatie",1,1,1,2,2,1,1,security,2,0,False
25,bbb,2023,bbb-2023.pdf,88-90,"Door de energietransitie hebben we in Nederland te maken met meer elektra, accu's, zonnepanelen en de opkomst van waterstof. Bij het voorbereiden van bouwplannen gaan we hier rekening mee houden en betrekken we actief de brandweer en luisteren we naar hen.",Dit gaat over de veiligheidsgevolgen van de energietransitie voor brandweerwerk,"energietransitie, zonne-energie, waterstof",2,1,1,1,2,1,1,economic,2,0,False
26,bbb,2023,bbb-2023.pdf,94-98,"We zijn kritisch op de luchtvaart en willen die luchtvaart, welke strategische waarde heeft versterken en verduurzamen.",Verduurzaming van luchtvaart is direct relevant voor CO2-reductie en klimaatdoelen,"luchtvaart, verduurzaming, CO2-reductie",1,1,1,3,2,1,2,security,3,1,False
27,bbb,2023,bbb-2023.pdf,94-98,Energie en technologie nemen een steeds belangrijker plaats in levens van mensen en in de economie. Een sterke energie- en digitale infrastructuur dient burgers en bedrijven en verkleint de verschillen en de afstand tussen stad en platteland. BBB maakt zich sterk voor het snel verbeteren en opschalen van de energie en digitale infrastructuur en wil daarin versneld investeren.,Opschaling van energie-infrastructuur is essentieel voor de energietransitie en klimaatdoelen,"energie-infrastructuur, energietransitie, investeringen",2,1,1,1,1,1,2,economic,2,0,False
28,bbb,2023,bbb-2023.pdf,98-99,"We gaan regio's en steden beter voorbereiden op extreme weersomstandigheden, zoals overstromingen en droogte. Dit omvat onder andere de ontwikkeling van groene infrastructuur in bebouwde gebieden en het bevorderen van oplossingen om water langer vast te houden. Bij nieuwbouw wordt getoetst of de plannen genoeg voorbereid zijn op extreme weersomstandigheden. Waterschappen moeten daarom meegenomen worden in de vergunningverlening van nieuwbouwprojecten. We willen het bewustzijn onder burgers en bedrijven vergroten over het belang van water en groen bij het tegengaan van hittestress.",Betreft klimaatadaptatie door voorbereiding op extreme weersomstandigheden als gevolg van klimaatverandering,"klimaatadaptatie, extreme weersomstandigheden, hittestress",1,1,2,1,4,2,1,health_environment,4,1,False
29,bbb,2023,bbb-2023.pdf,98-99,"Duurzame energie brengt nu heel veel landschapsvervuiling met zich mee. Land en zee staan vol met windturbines en hele stukken vruchtbare landbouwgrond worden opgeofferd voor zonnepanelen. Wij gaan ons inzetten voor kernenergie en totdat dit voldoende energie oplevert, zullen zonnepanelen alleen op plekken als daken, geluidswallen en boven parkeerplekken komen.",Betreft energietransitie en positionering over verschillende vormen van duurzame energie,"energietransitie, windenergie, zonne-energie, kernenergie, duurzame energie",1,1,1,1,3,1,2,health_environment,3,1,False
30,bbb,2023,bbb-2023.pdf,99-101,"Voor mobiliteit zetten we in op een mobiliteitstransitie die kan rekenen op het draagvlak van de burger. Een OV dat beschikbaar, comfortabel - en bovenal betrouwbaar - en betaalbaar is, is de aanjager voor verduurzaming van mobiliteit in de breedste zin.",Koppelt mobiliteitstransitie aan verduurzaming van mobiliteit,"mobiliteitstransitie, verduurzaming",2,1,1,1,1,1,1,economic,2,0,False
31,bbb,2023,bbb-2023.pdf,99-101,Internationale trein- en busverbindingen als alternatief voor korte afstandsvluchten krijgen een hogere prioriteit bij de besteding van de 'Meerjarenprogramma Infrastructuur Ruimte en Transport' (MIRT) gelden. Ook de opbrengsten van nationaal geïnde vliegbelasting worden hiervoor ingezet.,Positioneert trein en bus als klimaatvriendelijke alternatieven voor korte vluchten,"luchtvaart, modal shift, vliegbelasting",2,1,1,1,1,1,1,economic,2,0,False
32,bbb,2023,bbb-2023.pdf,99-101,"Zero Emissie (ZE) zones in gemeenten gaan vanaf 2025 in. Dit lijkt onhaalbaar en onbetaalbaar en moet uitgesteld worden. Er moet ook een overgangsregeling komen: in het geval ondernemers wel moeite tonen door een aanvraag voor subsidie of netaansluiting te doen, maar deze niet ontvangen, krijgen ze een ZE-zone ontheffing voor hun dieselvoertuigen.",Betreft zero-emissie beleid voor transport gericht op emissievrije mobiliteit,"zero-emissie, elektrificatie, transport",3,1,1,1,1,2,2,economic,3,1,False
33,bbb,2023,bbb-2023.pdf,99-101,"We stimuleren het gebruik van schonere brandstoffen voor transport (bijvoorbeeld biodiesel, synthetische brandstoffen en waterstof).",Betreft schonere brandstoffen voor transport als klimaatmaatregel,"schone brandstoffen, waterstof, biodiesel, synthetische brandstoffen",2,1,1,1,2,1,1,economic,2,0,False
34,bbb,2023,bbb-2023.pdf,99-101,"We ondersteunen de verdere uitrol van (laad)infra voor alternatieve brandstoffen zoals waterstof, e-fuels, duurzame kerosine, ammoniak, methanol en elektriciteit.",Betreft infrastructuur voor klimaatvriendelijke alternatieve brandstoffen,"waterstof, e-fuels, duurzame kerosine, elektriciteit, alternatieve brandstoffen",1,1,1,1,1,1,1,economic,1,0,False
35,bbb,2023,bbb-2023.pdf,99-101,"We willen de luchtvaartsector de kans geven om verder en sneller te innoveren en toe te werken naar een schone toekomst. Goede en toegankelijke luchtvracht en een goed netwerk van internationale verbindingen is en blijft van belang voor ons bedrijfsleven en ons vestigingsklimaat. Versnelling van de verduurzaming van de luchtvaart, waarbij de door Nederland recent verhoogde vliegticketbelasting wordt 'geoormerkt' voor deze versnelling alsmede aan het nog verder stimuleren van (inter)nationaal reizen per trein en bus. De afbouw van de accijnsvrijstelling op fossiele brandstoffen voor bepaalde sectoren (o.a. luchtvaart) zal op internationaal niveau worden besproken. De Nederlandse luchthavens zullen luchtvaartmaatschappijen binnen de wetgeving prikkelen om moderne vliegtuigen in te zetten door middel van een bonus- malussysteem (tariefdifferentiatie) van de havengelden. Het maximum aantal vluchten van en naar Schiphol zullen we 'bevriezen'. Eventuele toekomstige extra vluchten op Schiphol zijn alleen mogelijk bij een toonaangevende afname van de geluidshinder en milieu­gebruiksruimte.",Uitgebreid beleidskader voor verduurzaming luchtvaart met concrete maatregelen gericht op CO2-reductie,"luchtvaart, verduurzaming, vliegticketbelasting, fossiele brandstoffen, modal shift, milieu",4,1,2,1,2,2,2,economic,4,1,False
36,bbb,2023,bbb-2023.pdf,101-102,fossiele brandstoffen voor bepaalde sectoren (o.a. luchtvaart) zal op internationaal niveau worden besproken. De Nederlandse luchthavens zullen luchtvaartmaatschappijen binnen de wetgeving prikkelen om moderne vliegtuigen in te zetten door middel van een bonus- malussysteem (tariefdifferentiatie) van de havengelden.,Betreft fossiele brandstoffen in de luchtvaart en stimulering van moderne vliegtuigen voor CO2-reductie,"fossiele brandstoffen, luchtvaart, CO2-reductie",2,1,2,1,2,1,2,economic,2,0,False
37,bbb,2023,bbb-2023.pdf,101-102,"Er komt een 'modal shift' beleid om, wanneer mogelijk, het verplaatsen van goederenstromen te stimuleren van de weg naar het spoor, buisleiding en waterweg.",Modal shift beleid draagt bij aan CO2-reductie door verschuiving naar minder uitstotende transportmodi,"modal shift, CO2-reductie, transport",1,1,1,1,1,1,1,economic,1,0,False
38,bbb,2023,bbb-2023.pdf,101-102,"De elektrificatie van de Nederlandse economie en maatschappij is in de afgelopen jaren in een stroom­ versnelling geraakt, maar dit betekent ook veel voor de infrastructuur. De vraag naar transport van elektriciteit is explosief gestegen met netcongestie als gevolg. Buisleidingen krijgen een belangrijkere rol kijkende naar de aantrekkende vraag naar 'nieuwe' stoffen rondom de energietransitie (CO2, Ammoniak, Waterstof), de goede veiligheidsprestaties en het schaarser worden van personeel. We zetten in op de actualisatie van de 'rijksstructuurvisie buisleidingen' en de ontwikkeling van de Rhine Corridor voor waterstof en de afvang en opvang van CO2.","Behandelt elektrificatie, energietransitie, waterstof en CO2-afvang als onderdeel van klimaatbeleid","elektrificatie, energietransitie, waterstof, CO2-afvang, netcongestie",2,1,2,2,2,2,1,economic,2,0,False
39,bbb,2023,bbb-2023.pdf,102-106,"De elektrificatie van de Nederlandse economie en maatschappij is in de afgelopen jaren in een stroomversnelling geraakt, maar dit betekent ook veel voor de infrastructuur. De vraag naar transport van elektriciteit is explosief gestegen met netcongestie als gevolg. Buisleidingen krijgen een belangrijkere rol kijkende naar de aantrekkende vraag naar 'nieuwe' stoffen rondom de energietransitie (CO2, Ammoniak, Waterstof), de goede veiligheidsprestaties en het schaarser worden van personeel. We zetten in op de actualisatie van de 'rijksstructuurvisie buisleidingen' en de ontwikkeling van de Rhine Corridor voor waterstof en de afvang en opvang van CO2.","Dit gaat over elektrificatie, energietransitie infrastructuur, waterstof en CO2-afvang als onderdeel van klimaatbeleid","energietransitie, elektrificatie, waterstof, CO2-afvang",2,1,2,2,2,2,1,economic,2,0,False
40,bbb,2023,bbb-2023.pdf,108-110,"BBB vindt dat het Europees landbouw-, milieu- en klimaatbeleid met gezond verstand en gepaste milieu­ ruimte op maat moet worden gebracht, waarbij rekening wordt gehouden met de verschillen tussen lidstaten. Ook moet de staat van de natuur in elk land op dezelfde manier in kaart gebracht worden, zodat we beleid vergelijkbaar implementeren. We willen binnen de EU op deze gebieden een gelijk speelveld houden.",Betreft directe positiebepaling over Europees klimaatbeleid en de implementatie daarvan,"klimaatbeleid, Europees beleid, milieubeleid",2,2,1,1,2,1,2,economic,2,0,False
41,bbb,2023,bbb-2023.pdf,111-114,"Met een groeiende wereldbevolking en met steeds meer economische activiteiten is het klimaat steeds meer onder druk komen te staan. Hoewel het klimaat al sinds het ontstaan van de aarde aan autonome verandering onderhevig is, heeft de mensheid zeker ook een impact. Hoe groot die invloed is, daar verschillen meningen en onderzoeken over. Vanuit rentmeesterschap streeft BBB naar een samenleving waarbij we, voor zover we er invloed op hebben, en waar, onze impact op het klimaat beperken. De grootste impact op het klimaat lijken we te hebben door ons gebruik van energiebronnen. Een uitdaging want, ons leven heeft zich ontwikkeld in een situatie waarin we sterk afhankelijk zijn geworden van externe energiebronnen. Toch gaan we deze transitie met beide handen en zorgvuldig aanpakken.","Dit behandelt directe klimaatbeleidsbenadering van BBB, menselijke impact op klimaat en energietransitie","klimaatbeleid, energietransitie, klimaatverandering",2,3,2,1,2,2,2,moral,3,1,False
42,bbb,2023,bbb-2023.pdf,111-114,Voor BBB gaat het hierbij voornamelijk over: Bijdragen aan klimaatdoelstelling Transitie van fossiele naar duurzame energie (regionale) Bronnen van duurzame energie Beschikbaarheid van energie voor iedereen Betaalbaar houden van energie,Dit schetst BBB's kernthema's voor klimaat- en energiebeleid,"klimaatdoelen, energietransitie, hernieuwbare energie, fossiele brandstoffen",2,1,1,1,1,1,1,economic,2,0,False
43,bbb,2023,bbb-2023.pdf,111-114,"Het klimaat is het geheel van weersomstandigheden (als temperatuur, wind en neerslag) die gedurende een bepaalde periode een gebied karakteriseren. Dit is dus groter dan alleen de CO2-concentratie (0,03%) in onze atmosfeer. Vooralsnog is de focus op CO2-reductie. Voorgaande en huidige regeringen hebben al ambitieuze doelen gesteld om bijvoorbeeld de netto CO2-uitstoot sterk te reduceren. Daarbij is van essentieel belang dat doelstellingen zowel draagvlak als ook participatie van de bevolking hebben. Alleen samen kunnen we een verandering in gang zetten en tot een succes maken. Het benodigde draagvlak en acceptatie kunnen gerealiseerd worden als besluitvorming transparant is en de lusten en lasten eerlijk verdeeld worden.","Dit bevat BBB's positie over CO2-reductie, klimaatdoelen en de sociale acceptatie van klimaatbeleid","CO2-reductie, klimaatdoelen, uitstoot",2,2,2,1,1,1,2,economic,2,0,False
44,bbb,2023,bbb-2023.pdf,111-114,"Europa heeft een ambitieuzere klimaatdoelstelling geformuleerd (< 1,5 graden) dan het 'Parijs akkoord' (< 2 graden stijging) met als gevolg, dat de Nederlandse samenleving voor een enorme opgave staat om in 2030 de netto uitstoot van CO2 met 55% te reduceren ten opzichte van 1990 en in 2050 CO2-neutraal te zijn. Hierbij is overigens voor Nederland wel de mogelijkheid van saldering op EU-niveau. Nederland moet zich dus maximaal inzetten om deze doelen te behalen, maar dat doen we wel met gezond verstand. Daarbij wegen we alle belangen mee en kijken we naar het grote geheel. Wereldwijd draagt Nederland slechts 0.4% bij aan de wereldwijde CO2-uitstoot en onze CO2-voetafdruk per inwoner is al veel lager dan menig ander (westers) land.","Dit behandelt Nederlandse klimaatdoelen, het Parijs-akkoord en BBB's benadering van internationale klimaatverplichtingen","klimaatdoelen, Parijs-akkoord, CO2-reductie, CO2-neutraal, uitstoot",2,2,3,1,2,3,2,scientific,3,2,False
45,bbb,2023,bbb-2023.pdf,111-114,"De energietransitie speelt bij het behalen van CO2-doelstellingen een belangrijke rol. De energietransitie vraagt om een Deltaplan. Nieuwe activiteiten zullen moeten worden opgebouwd, terwijl andere activiteiten worden om- of afgebouwd. Dit veranderproces vraagt grote investeringen door bedrijven, veelal zullen de prijsstijgingen die daar het gevolg van zijn, worden doorbelast aan de burger. De burger moet deze lastenverzwaring wel kunnen blijven dragen. Daarom zetten wij in op een rechtvaardige verdeling van de kosten die samengaan met de klimaatmaatregelen.",Dit beschrijft BBB's benadering van energietransitie als middel voor CO2-doelen en benadrukt sociale rechtvaardigheid bij klimaatkosten,"energietransitie, CO2-reductie, klimaatmaatregelen, klimaatfinanciering",4,3,2,1,2,2,3,economic,4,3,False
46,bbb,2023,bbb-2023.pdf,111-114,"Voor een bijdrage aan het klimaat en het einde van het gebruik van fossiele brandstoffen is het dus van belang dat we de transitie naar duurzame energie maken. Tijdens deze transitie zullen we geen fossiele energiebronnen uitfaseren zolang betaalbare duurzame alternatieven nog niet beschikbaar zijn. Als we met elkaar samen de schouders eronder zetten, kunnen we veel bereiken. Hierbij spelen, naast het bedrijfsleven, alle burgers een belangrijke rol. Zo kan ook de landbouwsector een belangrijke rol spelen in de ontwikkeling van groene waterstof en biogas.","Dit stelt BBB's strategie voor de overgang van fossiele naar duurzame energie, inclusief waterstof en biogas","fossiele brandstoffen, hernieuwbare energie, energietransitie, waterstof, biogas",2,2,1,1,2,1,2,economic,2,0,False
47,bbb,2023,bbb-2023.pdf,115-119,"bijmengverplichting van 20% groen gas in het gasnet blijft behouden. Voor onze boeren is dit een mooie kans om met behulp van mestvergisters biogas te produceren. Dit zal een CO2-besparing opleveren. Wij willen de productie van lokaal geproduceerde duurzame biomassa en biogas stimuleren, met name door de inzet van reststromen uit de landbouw en voedselindustrie. Een op te richten agentschap biogrondstoffen kan overheid en markt bijstaan in kennisontwikkeling, scenarioplanning en advies.","Behandelt biogas productie, CO2-besparing en duurzame biomassa als onderdeel van energietransitie","biogas, CO2-besparing, duurzame biomassa, energietransitie",3,1,3,1,3,1,2,economic,3,3,False
